iter	Passed	Remaining
0	144	144547
1	146	72919
2	147	48996
3	148	37052
4	150	29875
5	151	25139
6	152	21685
7	154	19105
8	155	17162
9	157	15574
10	158	14212
11	159	13118
12	160	12177
13	161	11354
14	162	10659
15	163	10038
16	164	9498
17	164	8995
18	166	8588
19	167	8194
20	169	7879
21	169	7550
22	170	7255
23	172	7003
24	173	6767
25	174	6538
26	175	6327
27	176	6134
28	177	5945
29	178	5769
30	179	5605
31	180	5454
32	180	5298
33	181	5165
34	182	5028
35	183	4902
36	183	4786
37	184	4674
38	185	4562
39	185	4461
40	186	4365
41	187	4274
42	188	4185
43	188	4095
44	189	4014
45	189	3930
46	190	3854
47	190	3781
48	191	3711
49	191	3642
50	192	3577
51	192	3517
52	193	3455
53	193	3394
54	194	3339
55	194	3282
56	195	3227
57	195	3174
58	195	3120
59	196	3073
60	196	3024
61	196	2979
62	197	2933
63	197	2888
64	197	2844
65	198	2803
66	198	2764
67	198	2725
68	199	2686
69	199	2650
70	199	2614
71	200	2578
72	200	2544
73	200	2511
74	201	2480
75	201	2446
76	201	2416
77	201	2385
78	202	2356
79	202	2328
80	202	2299
81	203	2272
82	203	2246
83	203	2220
84	203	2194
85	204	2169
86	204	2145
87	204	2121
88	204	2097
89	205	2074
90	205	2050
91	205	2028
92	205	2007
93	206	1985
94	206	1963
95	206	1942
96	206	1922
97	206	1902
98	206	1883
99	207	1864
100	207	1846
101	207	1828
102	207	1810
103	208	1793
104	208	1776
105	208	1759
106	208	1744
107	209	1729
108	209	1713
109	209	1697
110	210	1683
111	210	1668
112	210	1654
113	211	1640
114	211	1627
115	211	1612
116	211	1599
117	212	1585
118	212	1573
119	212	1559
120	212	1547
121	213	1533
122	213	1521
123	213	1509
124	213	1497
125	214	1486
126	214	1474
127	214	1462
128	214	1450
129	215	1439
130	215	1428
131	215	1418
132	215	1407
133	216	1396
134	216	1386
135	216	1375
136	216	1365
137	217	1356
138	217	1346
139	217	1336
140	217	1327
141	218	1318
142	218	1308
143	218	1299
144	218	1290
145	219	1281
146	219	1272
147	219	1263
148	219	1254
149	219	1245
150	220	1237
151	220	1229
152	220	1221
153	220	1213
154	221	1205
155	221	1197
156	221	1190
157	221	1182
158	222	1175
159	222	1167
160	222	1159
161	222	1152
162	223	1145
163	223	1139
164	223	1132
165	223	1125
166	224	1118
167	224	1111
168	224	1104
169	224	1098
170	225	1091
171	225	1085
172	225	1079
173	226	1072
174	226	1066
175	226	1060
176	226	1054
177	227	1048
178	227	1042
179	227	1036
180	227	1031
181	228	1025
182	228	1020
183	228	1014
184	228	1008
185	229	1002
186	229	997
187	229	992
188	230	986
189	230	981
190	230	976
191	230	971
192	231	966
193	231	961
194	231	955
